_id	searchTimes
tag1	0
tag2	0
tag3	0
tag4	0
tag5	0
tag6	0
tag7	0
tag8	0
tag9	0
tag10	0
tag11	0
tag12	0
tag13	0
tag14	0
tag15	0
tag16	0
tag17	0
tag18	0
tag19	0
tag20	0
tag21	0
tag22	0
tag23	0
tag24	0
tag25	0
tag26	0
tag27	0
tag28	0
tag29	0
tag30	0
tag31	0
tag32	0
tag33	0
tag34	0
tag35	0
tag36	0
tag37	0
tag38	0
tag39	0
tag40	0
tag41	0
tag42	0
tag43	0
tag44	0
tag45	0
tag46	0
tag47	0
tag48	0
tag49	0
tag50	0
tag51	0
tag52	0
tag53	0
tag54	0
tag55	0
tag56	0
tag57	0
tag58	0
tag59	0
tag60	0
tag61	0
tag62	0
tag63	0
tag64	0
tag65	0
tag66	0
tag67	0
tag68	0
tag69	0
tag70	0
tag71	0
tag72	0
tag73	0
tag74	0
tag75	0
tag76	0
tag77	0
tag78	0
tag79	0
tag80	0
tag81	0
tag82	0
tag83	0
tag84	0
tag85	0
tag86	0
tag87	0
tag88	0
tag89	0
tag90	0
tag91	0
tag92	0
tag93	0
tag94	0
tag95	0
tag96	0
tag97	0
tag98	0
tag99	0
